name,reviewer,no_stars,review_body,guide,no_reviews,review-date,url,timestamp
SARPI | Georgian-Turkish border - Google Maps,Terance Yeow,4 stars,"Great experience to see the Georgia and Turkish border crossing point. Beside that, also can walk along the seaside of Black Sea.",Local Guide · 152 reviews · 573 photos,Local Guide · 152 reviews · 573 photos,11 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUM1bXVIcTl3RRAB",2024-10-09T07:03:43Z
SARPI | Georgian-Turkish border - Google Maps,Charlotte Kaas Hansen,2 stars,"The layout of the Georgian side is hilariously dumb. Everyone enters the building from the side of the lines/booths, so you have to shove through the masses to get to other passport controls than the first two. I cannot fathom how anyone …. More",Local Guide · 249 reviews · 43 photos,Local Guide · 249 reviews · 43 photos,4 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSURUaGZDd2dnRRAB",2024-10-09T07:03:43Z
SARPI | Georgian-Turkish border - Google Maps,Eren Kumcuoğlu,1 star,"By far the worst gate I've ever seen. I've been in 30+ countries in 4 continents, and yet never seen people as uncivilized as in here. No proper order and lines, Georgians are disrespectfully knocking people of and trying to get in front of …. More",Local Guide · 227 reviews · 258 photos,Local Guide · 227 reviews · 258 photos,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUQtbDRHUkx3EAE",2024-10-09T07:03:43Z
SARPI | Georgian-Turkish border - Google Maps,M.Çağrı ÇALIKOĞLU,1 star,"The civil servants on the Georgian side are very bad people, they shout all the time, they do not treat people well and there is always a queue because they are lethargic. …. More",Local Guide · 64 reviews · 152 photos,Local Guide · 64 reviews · 152 photos,3 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSURMd2ZpN19RRRAB",2024-10-09T07:03:43Z
SARPI | Georgian-Turkish border - Google Maps,Muhammed Cicekli,3 stars,"Passing from the Turkish side is easy and enjoyable, but if you want to get a tax refund when entering from the Georgian side, they make it very difficult. They do not show humane treatment. We were kept waiting for 4 hours. The money was refunded at the lowest exchange rate.","Local Guide · 321 reviews · 1,076 photos","Local Guide · 321 reviews · 1,076 photos",6 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUQ5anZMR25nRRAB",2024-10-09T07:03:44Z
SARPI | Georgian-Turkish border - Google Maps,H Asryan,1 star,"Racist, disgraceful and incompetent staff!!!
On the early morning around 9:30am on August 1st 2023, approached those unexperienced, racist, incompetent and disgraceful border control staff. Driven from …. More",Local Guide · 111 reviews · 411 photos,Local Guide · 111 reviews · 411 photos,3 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUNsdV9tVldnEAE",2024-10-09T07:03:44Z
SARPI | Georgian-Turkish border - Google Maps,Tro jan,1 star,"Other than the fact it was dirty and there was long waiting lines, THE GEORGIAN SIDE is absolutely the worst I've ever seen! The staff are racist and incompetent, they should be on their knees for foreign money entering their poor 3rd world country!!!",Local Guide · 157 reviews · 116 photos,Local Guide · 157 reviews · 116 photos,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSURaMUtPbld3EAE",2024-10-09T07:03:44Z
SARPI | Georgian-Turkish border - Google Maps,Mahmoud Al Hamawi,1 star,"Very bad experience
Crossing from Georgia to Turkey
Too hot inside no fresh air and it toke us more than 30 mins in the line to stamp the passport",Local Guide · 51 reviews · 360 photos,Local Guide · 51 reviews · 360 photos,2 weeks ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUNuMU5hclRREAE",2024-10-09T07:03:44Z
SARPI | Georgian-Turkish border - Google Maps,Eylem Ideli,1 star,"They bully people, hold people up unnecessarily. I have been to many countries and have never experienced such terrible border police as here",,,3 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUR6emRTeDZRRRAB",2024-10-09T07:03:44Z
SARPI | Georgian-Turkish border - Google Maps,em ell,1 star,All the negative reviews here are absolutely correct and you must be ready if you're headed here. What we went through yesterday was out of a Godzilla movie – hundreds of low-impulse control underclass people crushing each other to fit into …. More,Local Guide · 140 reviews · 14 photos,Local Guide · 140 reviews · 14 photos,3 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSURSamZ1Umh3RRAB",2024-10-09T07:03:45Z
SARPI | Georgian-Turkish border - Google Maps,Konstantin Stalinsky,1 star,There have been queues at the Sarfi customs checkpoint since morning. Citizens who travel both by car and on foot cannot cross the border,"Local Guide · 65 reviews · 1,844 photos","Local Guide · 65 reviews · 1,844 photos",a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSURaMHBpN0xREAE",2024-10-09T07:03:45Z
SARPI | Georgian-Turkish border - Google Maps,Farah Karaman,2 stars,"The worst border crossing in my life so far. The only person who can stay in the car is the owner, the rest of the passengers have to walk through. The staff is unfriendly on both sides, and we had issues going through because apparently no …. More",Local Guide · 77 reviews · 81 photos,Local Guide · 77 reviews · 81 photos,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSURaNElpUEpnEAE",2024-10-09T07:03:45Z
SARPI | Georgian-Turkish border - Google Maps,Ekaterine (Catherine),1 star,Very poor service and incompetent staff mostly and it's on the Georgian side. Very slow and lazy. They open gates randomly or close them down when there are a lot of people. According to their faces they hate their lives. Can harass you …. More,"Local Guide · 499 reviews · 2,751 photos","Local Guide · 499 reviews · 2,751 photos",5 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChRDSUhNMG9nS0VJQ0FnSURSby1RMxAB",2024-10-09T07:03:45Z
SARPI | Georgian-Turkish border - Google Maps,From Rust to Roadtrip,1 star,"Absolute joke of a border facility. No order, no proper queuing. Only one person on the Turkish side checking vehicles. All passengers have to exit the vehicles and pass through on foot. Fine. But nowhere for us to stand under shelter the …. More",Local Guide · 117 reviews · 135 photos,Local Guide · 117 reviews · 135 photos,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSURCdXZ5c2lBRRAB",2024-10-09T07:03:45Z
SARPI | Georgian-Turkish border - Google Maps,Łukasz Kastelik,1 star,I have been to many countries and this border crossing was my worst experience so far. The procedures take a long time and the staff is incompetent (except for a few nice ladies on the Georgian side). The passengers are being separated from …. More,Local Guide · 17 reviews · 2 photos,Local Guide · 17 reviews · 2 photos,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChRDSUhNMG9nS0VJQ0FnSURoN3B3aRAB",2024-10-09T07:03:46Z
SARPI | Georgian-Turkish border - Google Maps,Mehmet,1 star,Most of Georgian police are extremely rude and sassy and most of the Georgian citizens are unruly. Despite loving the city of Batumi these negative sides make me hesitate to visit this country.  It seems like they don't want Turkish …. More,Local Guide · 163 reviews · 2 photos,Local Guide · 163 reviews · 2 photos,10 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSUNsLXBiMEJREAE",2024-10-09T07:03:46Z
SARPI | Georgian-Turkish border - Google Maps,Andria. Shani,1 star,"I had really bad experience there, the officers really abused me, with how they treated with me , it’s like there is no any law.",,,2 months ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSURia1oydzlRRRAB",2024-10-09T07:03:46Z
SARPI | Georgian-Turkish border - Google Maps,Benjamin Helm,1 star,"Most unfriendly border staff I ever saw in my life, there's no difference between Turkish and Georgian migration control. …. More",Local Guide · 15 reviews,Local Guide · 15 reviews,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSUR4cF8zUThBRRAB",2024-10-09T07:03:46Z
SARPI | Georgian-Turkish border - Google Maps,Guillermo Dionisio,3 stars,"Leaving Georgia is crazy, maybe 60 Turks in a little passageway, they open the door every 20 minutes and let 20 people into the exit passport control, which is a cramped little space with 8 lines of 8 people. Once you get through that you …. More",,8 reviews,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChdDSUhNMG9nS0VJQ0FnSURoaWR5QzdRRRAB",2024-10-09T07:03:46Z
SARPI | Georgian-Turkish border - Google Maps,Mohamed Awad,5 stars,We crossed without any problems,Local Guide · 100 reviews · 115 photos,Local Guide · 100 reviews · 115 photos,a year ago,"https://www.google.com/maps/place/SARPI+%7C+Georgian-Turkish+border/@41.5225474,41.551162,17z/data=!4m15!1m8!3m7!1s0x40679116e4bff12f:0x63f7d9a14fcae190!2sSarpi,+Georgia!3b1!8m2!3d41.5210014!4d41.5526871!16zL20vMDd0d3do!3m5!1s0x4067913d6549efcb:0xee656409b40b2536!8m2!3d41.5209672!4d41.5484345!16s%2Fg%2F1hc5dn62y?entry=ttu&g_ep=EgoyMDI0MTAwNS4yIKXMDSoASAFQAw%3D%3D&hl=en#ChZDSUhNMG9nS0VJQ0FnSURKaHRQYllREAE",2024-10-09T07:03:46Z
