User, User info, Review
Nik Ther,"Local Guide · 44 reviews · 19 photos","Выдержки и Терпения тому кто решился пересечь здесь границу. Очередь, толкотня и не разбериха. Вначале долго стоишь в одно окно, затем оказывается нужно еще поставить какую то, только им веданную, печать в другом окне находящееся с другой стороны здания, затем еще и ещё за дверью без таблички. Несколько часов ожидания на жаре под палящим солнцем.",a year ago
Vladimir Razzhivaykin,"4 reviews","Жаль нельзя поставить минус. Загнали как скот в отстойник и уже более 4х часов никаких движений. При этом пассажиры проходят отдельно и должны ждать все это время машину на улице",a year ago
Bekhzodbek Egamberdiyev,"5 reviews · 2 photos","Soska bb yatbdi billa dim zaybal atibardi,mazgini sikadila blat quri zb jalla",a month ago
Кирилл Кавокин,"2 reviews","Пограничники этого погранпункта толкают людей, кричат на них, как будто это ,,рабы’’, а на улице средневековье. Сотрудник, после проставления печати с презрительным видом КИНУЛ(не положил ) паспорт на стол. Выезжал из Казахстана в ночь с 6 на 7 июня 2023г.",a year ago
Fadis Shakirov,"10 reviews · 8 photos","Господа, если вы хотите пересечь данный пост быстро - единственный способ это мотоцикл! Я проехал данный пост за час\два и то только из за того что попусту не знал всей процедуры и кучи простите сброда и неразберихи. Нужно говорить что ты турист и путешественник и не стесняться! Сразу на границе Узбекистана есть хорошая ночлежка за 50 т. сумов и отличный полуресторан! Менялы есть как правило в ресторане! Не меняйте деньги у сброда. Gentlemen, if you want to cross this post quickly - the only way is a motorcycle! I drove this post for an hour or two and then only because I did not know the whole procedure and the heap forgive the rancor and the confusion. Need to say that you are a tourist and a traveler and do not be shy! Immediately on the border of Uzbekistan there is a good night-lodge for 50 tons of soums and an excellent half-restaurant! money speculative is usually in the restaurant! Do not change money at the rabble.",7 years ago
長崎信也,"4 reviews","自家用車ご利用の日本人の方は関税同盟の種類をもらって下さい。 ザル国境なので出国の場合必要になります。",6 years ago
Okami 404,"1 review","Позор и ужас. Кошмарные сотрудники. Будто с помойки набрали работников",9 months ago
Ruslan Ergashev,"Local Guide · 24 reviews · 4 photos","Вроде все мусульмане но одни взятьки думайте пожалуйста об судной день!!! Очень трудно будет ответить.😔😔😔 …",a year ago
Оль,"5 reviews · 3 photos","Стояли более 12 часов для въезда в Узбекистан. Грязь, мусор...",3 years ago
Andy J,"Local Guide · 20 reviews · 5 photos","Ад это не пограничный пункт, а дорога до него от Бейнеу.",5 years ago
Alex Kumik,"4 reviews · 3 photos","Очень медленно работает.Разогнать...",11 months ago
Азизбек Бахромов,"Local Guide · 11 reviews · 4 photos","Плохо работает есть Коррупция",a year ago
Kuanysh BAYBAKTY,"Local Guide · 969 reviews · 6,751 photos","дәретхана жоқ. айналасы қоқыс қоқыс",5 years ago
Kos_,"Local Guide · 29 reviews · 21 photos","Пропускная способность 20 машин в сутки!!!!",9 years ago
Павел Кашицкий,"3 reviews","Это просто невозмутимо каменный век в полном проявлении",6 years ago
kiril petrov,"8 reviews · 10 photos","това е границата между казакстан и узбекистан",10 years ago
LEVINHO FANS,"1 review","Самый ужасный пост, не советую!",2 years ago
СТРАНЫ ЕВРАЗИИ,"6 reviews · 9 photos","Не вежливы пограничники",3 years ago
offensive _,"12 reviews","коррумпированный пограничный пункт, (просто ужас!",5 years ago
Azizbek Maxmudov,"Local Guide · 11 reviews · 20 photos","👍 …",10 months ago
Саодат Хайдарова,"2 reviews","Самый бардачный пост",7 years ago
Виктор Кручковский,"Local Guide · 42 reviews · 24 photos","Медленный пропуск",2 years ago
Исфандиёр Исик,"Local Guide · 11 reviews","Очень корумпированная страна.",5 years ago
Muxammad Tuxsanov,"4 reviews · 2 photos","",7 months ago
Recep Bostan,"27 reviews · 20 photos","",9 months ago
Дустмурод Отамуродов,"1 photo","",10 months ago
Ulmasov Ilhom,"1 review · 10 photos","",11 months ago
Multi videos Channel,"Local Guide · 7 reviews · 11 photos","",a year ago
Даврон,"Local Guide · 38 reviews · 20 photos","",4 years ago
,"","",5 years ago
Botirjon Ergashev,"4 photos","",5 years ago
Oʻktam Bekjonov,"2 reviews","",5 years ago
,"","",5 years ago
Дархан МДК,"Local Guide · 4 reviews · 39 photos","",6 years ago
Хан 88,"1 review","",6 years ago
funny world,"2 reviews · 4 photos","",7 years ago
Даурен Баймудинов,"2 reviews","",8 years ago
Shox Amir,"1 review","",9 years ago
